name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;453;0;522;3069;1054;3069;1077;0
header;218;146;218;187;1818;187;1818;146
A;1014;212;1014;242;1037;242;1037;212
B;586;732;586;745;594;745;594;732
B;610;856;610;876;626;876;626;856
B;1006;906;1006;932;1025;932;1025;906
A;935;984;935;984;935;984;935;984
B;760;1038;760;1057;774;1057;774;1038
B;520;1313;520;1332;536;1332;536;1313
C;995;1590;995;1619;1018;1619;1018;1590
A;1056;1642;1056;1642;1056;1642;1056;1642
A;815;1968;815;1968;815;1968;815;1968
D;990;2266;990;2294;1012;2294;1012;2266
A;893;2696;893;2696;893;2696;893;2696
A;865;2784;865;2785;867;2785;867;2784
